rank,priority_bucket,faculty_name,likely_faculty_status,institution,country_code,us_or_non_us,in_existing_us_grad_program_file,grad_advisor_fit,advisor_competitiveness,matched_works_count,most_recent_matched_year,computational_ecology_fit_tags,openalex_h_index,openalex_works_count,openalex_cited_by_count,top_matched_journals,representative_work_1,representative_work_2,representative_work_3,why_theo_should_research,suggested_first_email_angle,orcid,openalex_profile_url,data_source_snapshot_date
11,A - strongest fit,Gianpaolo Coro,Likely faculty/senior PI,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,Non-US,no,Possible (manual verification needed),High,21,2022,ecological_networks; species_distribution,25,162,2274,Zenodo (CERN European Organization for Nuclear Research); Ecological Modelling,A global-scale ecological niche model to predict SARS-CoV-2 coronavirus infection rate,"Biodiversity Index, in 2019 and across RCP 4.5, and 8.5 scenarios in 2050 and 2100 of 1508 European Marine Species based on ensemble Ecological Niche Models developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution","Ecological Niche Models, in 2019 and across RCP 2.6, 4.5, and 8.5 scenarios in 2050 and 2100, of 1508 European Marine Species, developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution","Recurring publication signal (21 matched works) in ecological_networks, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecological networks and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-7232-191X,https://openalex.org/A5009188742,2026-04-10
12,A - strongest fit,Niklaus E. Zimmermann,Likely faculty/senior PI,Centre National de la Recherche Scientifique,FR,Non-US,no,Possible (manual verification needed),High,11,2023,species_distribution; joint_models,104,506,67772,Ecography; Journal of Biogeography; Ecological Monographs; Biodiversity Informatics,Model complexity affects species distribution projections under climate change,Presence-only and Presence-absence Data for Comparing Species Distribution Modeling Methods,A standard protocol for reporting species distribution models,"Recurring publication signal (11 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3099-9604,https://openalex.org/A5031627703,2026-04-10
13,A - strongest fit,Jane Elith,Likely faculty/senior PI,The University of Melbourne,AU,Non-US,no,Strong (university advisor pipeline),Very high,9,2023,species_distribution,72,138,70769,Ecological Monographs; Diversity and Distributions; Ecography; Biodiversity Informatics,Predictive performance of presence‐only species distribution models: a benchmark study with reproducible code,Presence-only and Presence-absence Data for Comparing Species Distribution Modeling Methods,A standard protocol for reporting species distribution models,Recurring publication signal (9 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-8706-0326,https://openalex.org/A5032805182,2026-04-10
14,B - high potential,Whitney M. Woelmer,Likely faculty/senior PI,University of Waikato,NZ,Non-US,no,Strong (university advisor pipeline),Moderate,13,2023,forecasting,14,73,1082,Zenodo (CERN European Organization for Nuclear Research); Inland Waters; Ecological Applications; Forecasting,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting",Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Integrating Ecological Forecasting into Undergraduate Ecology Curricula with an R Shiny Application-Based Teaching Module,Recurring publication signal (13 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-5147-3877,https://openalex.org/A5050033942,2026-04-10
15,A - strongest fit,Salvador Arenas‐Castro,Likely faculty/senior PI,University of Córdoba,ES,Non-US,no,Strong (university advisor pipeline),Moderate,11,2024,species_distribution; ecosystem_modeling; remote_sensing,17,74,1425,Ecological Modelling; Ecography; Journal of Biogeography; ISPRS International Journal of Geo-Information,Want to model a species niche? A step-by-step guideline on correlative ecological niche modelling,Effects of input data sources on species distribution model predictions across species with different distributional ranges,Cross-scale monitoring of habitat suitability changes using satellite time series and ecological niche models,"Recurring publication signal (11 matched works) in species_distribution, ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-8671-4968,https://openalex.org/A5084211669,2026-04-10
16,A - strongest fit,Neftalí Sillero,Likely faculty/senior PI,Lisbon School of Design,PT,Non-US,no,Strong (university advisor pipeline),High,10,2024,species_distribution,33,194,4826,Ecological Modelling; Ecography; International Journal of Geographical Information Systems; The Science of The Total Environment,Want to model a species niche? A step-by-step guideline on correlative ecological niche modelling,Common mistakes in ecological niche models,A curated list of R packages for ecological niche modelling,Recurring publication signal (10 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3490-3780,https://openalex.org/A5045950940,2026-04-10
17,A - strongest fit,Ethan P. White,Likely faculty/senior PI,University of Florida,US,US,yes,Strong (university advisor pipeline),High,12,2025,forecasting,48,1754,10561,Zenodo (CERN European Organization for Nuclear Research); Ecology; Front Matter; Nature Climate Change,Transferability of ecological forecasting models to novel biotic conditions in a long‐term experimental study,Evaluating probabilistic ecological forecasts,Ecological Forecasting and Dynamics: A graduate courseon the fundamentals of time series and forecasting in ecology,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-6728-7745,https://openalex.org/A5060079821,2026-04-10
18,A - strongest fit,A. Townsend Peterson,Likely faculty/senior PI,American Museum of Natural History,US,US,no,Lower (not a typical PhD advisor home),High,14,2022,species_distribution; forecasting,119,882,88670,Ecological Modelling; Ecography; Ecological Informatics; Frontiers of Biogeography,A simulation-based method for selecting calibration areas for ecological niche models and species distribution models,A standard protocol for reporting species distribution models,kuenm: an R package for detailed development of ecological niche models using Maxent,"Recurring publication signal (14 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0243-2379,https://openalex.org/A5026094744,2026-04-10
19,A - strongest fit,Carl Boettiger,Likely faculty/senior PI,"University of California, Berkeley",US,US,no,Strong (university advisor pipeline),High,12,2025,forecasting,28,930,5656,Frontiers in Ecology and the Environment; Nature Climate Change; Methods in Ecology and Evolution; Ecological Applications,The<scp>NEON</scp>Ecological Forecasting Challenge,Near-term ecological forecasting for climate change action,A Community Convention for Ecological Forecasting: Output Files and Metadata,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1642-628X,https://openalex.org/A5032226777,2026-04-10
20,A - strongest fit,James T. Thorson,Likely faculty/senior PI,,,Non-US,unknown,Possible (manual verification needed),High,11,2025,species_distribution; forecasting; ecosystem_modeling; joint_models,57,324,11305,Ecography; The Science of The Total Environment; Open MIND; Canadian Journal of Fisheries and Aquatic Sciences,Spatially varying coefficients can improve parsimony and descriptive power for species distribution models,An ensemble approach to species distribution modelling reconciles systematic differences in estimates of habitat utilization and range area,Trade‐offs in covariate selection for species distribution models: a methodological comparison,"Recurring publication signal (11 matched works) in species_distribution, forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-7415-1010,https://openalex.org/A5024684992,2026-04-10
21,A - strongest fit,Andrew K. Skidmore,Likely faculty/senior PI,GeoInformation (United Kingdom),GB,Non-US,no,Possible (manual verification needed),High,13,2025,remote_sensing; species_distribution,104,817,46388,University of Twente Research Information; Remote Sensing; Science of Remote Sensing; Forests,"Linking the Remote Sensing of Geodiversity and Traits Relevant to Biodiversity—Part II: Geomorphology, Terrain and Surfaces",Mapping the relative abundance of soil microbiome biodiversity from eDNA and remote sensing,The significance of using satellite imagery data only in Ecological Niche Modelling of Iberian herps,"Recurring publication signal (13 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7446-8429,https://openalex.org/A5073807486,2026-04-10
22,B - high potential,S. K. Morgan Ernest,Likely faculty/senior PI,University of Florida,US,US,yes,Strong (university advisor pipeline),High,11,2025,forecasting,41,1388,8974,Zenodo (CERN European Organization for Nuclear Research); Ecology; Front Matter; Nature Climate Change,Evaluating probabilistic ecological forecasts,Ecological Forecasting and Dynamics: A graduate courseon the fundamentals of time series and forecasting in ecology,Near-term ecological forecasting for climate change action,Recurring publication signal (11 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6026-8530,https://openalex.org/A5036440158,2026-04-10
23,A - strongest fit,Vítězslav Moudrý,Likely faculty/senior PI,Czech University of Life Sciences Prague,CZ,Non-US,no,Strong (university advisor pipeline),High,9,2024,species_distribution; remote_sensing,32,93,2263,Ecography; International Journal of Geographical Information Systems; Progress in Physical Geography Earth and Environment; npj Biodiversity,"Optimising occurrence data in species distribution models: sample size, positional uncertainty, and sampling bias matter",Scale mismatches between predictor and response variables in species distribution modelling: A review of practices for appropriate grain selection,Positional errors in species distribution modelling are not overcome by the coarser grains of analysis,"Recurring publication signal (9 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3194-451X,https://openalex.org/A5050597521,2026-04-10
24,B - high potential,Nerea Abrego,Likely faculty/senior PI,University of Jyväskylä,FI,Non-US,no,Strong (university advisor pipeline),Moderate,9,2025,joint_models; species_distribution,32,133,5386,Ecology; Cambridge University Press eBooks; Ecological Monographs; Methods in Ecology and Evolution,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Joint species distribution modelling with the<scp>r</scp>‐package H<scp>msc</scp>,Joint Species Distribution Modelling: With Applications in R,"Recurring publication signal (9 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-6347-6127,https://openalex.org/A5027232018,2026-04-10
25,B - high potential,Loïc Pellissier,Likely faculty/senior PI,Board of the Swiss Federal Institutes of Technology,CH,Non-US,no,Strong (university advisor pipeline),High,8,2025,species_distribution; remote_sensing; ecosystem_modeling,69,469,21728,Ecography; Ecological Informatics; Journal of Biogeography; Global Ecology and Biogeography,A quantitative review of abundance‐based species distribution models,Model complexity affects species distribution projections under climate change,Comparing temperature data sources for use in species distribution models: From in‐situ logging to remote sensing,"Recurring publication signal (8 matched works) in species_distribution, remote_sensing, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2289-8259,https://openalex.org/A5064694326,2026-04-10
26,B - high potential,Jamie M. Kass,Likely faculty/senior PI,Tohoku University,JP,Non-US,no,Strong (university advisor pipeline),Moderate,9,2023,species_distribution; forecasting,21,89,4952,Ecography; Ecological Research; Journal of Biogeography; Ecological Applications,<i>wallace</i> 2: a shiny app for modeling species niches and distributions redesigned to facilitate expansion via module contributions,Species Distribution Modeling for Conservation Educators and Practitioners,Improving area of occupancy estimates for parapatric species using distribution models and support vector machines,"Recurring publication signal (9 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9432-895X,https://openalex.org/A5063809529,2026-04-10
27,B - high potential,Julia L. Blanchard,Likely faculty/senior PI,University of Tasmania,AU,Non-US,no,Strong (university advisor pipeline),High,11,2023,food_webs; ecosystem_modeling,69,252,19526,Frontiers in Marine Science; Deep Sea Research Part II Topical Studies in Oceanography; Reviews in Fish Biology and Fisheries; PLoS ONE,Ensemble Projections of Future Climate Change Impacts on the Eastern Bering Sea Food Web Using a Multispecies Size Spectrum Model,Disentangling diverse responses to climate change among global marine ecosystem models,"Alternative energy pathways in Southern Ocean food webs: Insights from a balanced model of Prydz Bay, Antarctica","Recurring publication signal (11 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0532-4824,https://openalex.org/A5047035656,2026-04-10
28,B - high potential,Marco Malavasi,Likely faculty/senior PI,University of Sassari,IT,Non-US,no,Strong (university advisor pipeline),Moderate,9,2024,species_distribution; remote_sensing,30,102,2421,Ecography; Progress in Physical Geography Earth and Environment; npj Biodiversity; Methods in Ecology and Evolution,A quixotic view of spatial bias in modelling the distribution of species and their diversity,"Optimising occurrence data in species distribution models: sample size, positional uncertainty, and sampling bias matter",Scale mismatches between predictor and response variables in species distribution modelling: A review of practices for appropriate grain selection,"Recurring publication signal (9 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9639-1784,https://openalex.org/A5031687277,2026-04-10
29,C - keep on longlist,Pasquale Bove,Possible faculty/senior researcher,Institute of Geosciences and Earth Resources,IT,Non-US,no,Possible (manual verification needed),Selective but variable,20,2022,ecological_networks,10,60,421,Zenodo (CERN European Organization for Nuclear Research),"Biodiversity Index, in 2019 and across RCP 4.5, and 8.5 scenarios in 2050 and 2100 of 1508 European Marine Species based on ensemble Ecological Niche Models developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution","Ecological Niche Models, in 2019 and across RCP 2.6, 4.5, and 8.5 scenarios in 2050 and 2100, of 1508 European Marine Species, developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution","Ensemble Ecological Niche Models, in 2019 and across RCP 2.6, 4.5, and 8.5 scenarios in 2050 and 2100, of 1508 European Marine Species based on Ecological Niche Models developed with Artificial Neural Networks, Maximum Entropy, Support Vector Machines, and AquaMaps at 0.5° Resolution",Recurring publication signal (20 matched works) in ecological_networks; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecological networks and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9969-8255,https://openalex.org/A5013338425,2026-04-10
30,A - strongest fit,Stephanie Brodie,Likely faculty/senior PI,Commonwealth Scientific and Industrial Research Organisation,AU,Non-US,no,Possible (manual verification needed),High,9,2023,species_distribution; forecasting; ecological_ml; ecosystem_modeling,36,103,4612,Methods in Ecology and Evolution; Nature Communications; Diversity and Distributions; Ecography,Trade‐offs in covariate selection for species distribution models: a methodological comparison,Ecological forecasts for marine resource management during climate extremes,The power of forecasts to advance ecological theory,"Recurring publication signal (9 matched works) in species_distribution, forecasting, ecological_ml; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0869-9939,https://openalex.org/A5018777160,2026-04-10
31,A - strongest fit,Adam M. Wilson,Likely faculty/senior PI,National Physical Laboratory,GB,Non-US,no,Possible (manual verification needed),High,11,2025,remote_sensing; forecasting; species_distribution,35,136,4291,Remote Sensing of Environment; Nature Reviews Biodiversity; Methods in Ecology and Evolution; Nature Ecology & Evolution,Integrating remote sensing with ecology and evolution to advance biodiversity conservation,Monitoring biodiversity in the Anthropocene using remote sensing in species distribution models,Towards connecting biodiversity and geodiversity across scales with satellite remote sensing,"Recurring publication signal (11 matched works) in remote_sensing, forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3362-7806,https://openalex.org/A5034086801,2026-04-10
32,B - high potential,Jeannine Cavender‐Bares,Likely faculty/senior PI,Harvard University,US,US,no,Strong (university advisor pipeline),High,8,2022,remote_sensing; species_distribution,85,420,39066,Remote Sensing of Environment; Nature Ecology & Evolution,Integrating remote sensing with ecology and evolution to advance biodiversity conservation,Remote Sensing of Plant Biodiversity,Monitoring biodiversity in the Anthropocene using remote sensing in species distribution models,"Recurring publication signal (8 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3375-9630,https://openalex.org/A5041317932,2026-04-10
33,B - high potential,Gurutzeta Guillera‐Arroita,Likely faculty/senior PI,The University of Melbourne,AU,Non-US,no,Strong (university advisor pipeline),Moderate,7,2023,species_distribution; joint_models,45,99,11952,Ecography; Ecological Monographs; Diversity and Distributions; Ecology,Predictive performance of presence‐only species distribution models: a benchmark study with reproducible code,A standard protocol for reporting species distribution models,A review of evidence about use and performance of species distribution modelling ensembles like BIOMOD,"Recurring publication signal (7 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-8387-5739,https://openalex.org/A5069640986,2026-04-10
34,B - high potential,Elizabeth A. Fulton,Likely faculty/senior PI,CSIRO Oceans and Atmosphere,AU,Non-US,no,Possible (manual verification needed),High,11,2023,ecosystem_modeling; food_webs,72,356,22417,Reviews in Fish Biology and Fisheries; Frontiers in Marine Science; Ocean Dynamics; Nature Ecology & Evolution,"<scp>Atlantis</scp>: A spatially explicit end‐to‐end marine ecosystem model with dynamically integrated physics, ecology and socio‐economic modules",A guide to ecosystem models and their environmental applications,Calibrating process-based marine ecosystem models: An example case using Atlantis,"Recurring publication signal (11 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-5904-7917,https://openalex.org/A5030759745,2026-04-10
35,B - high potential,J. S. McLachlan,Likely faculty/senior PI,University of Notre Dame,US,US,no,Strong (university advisor pipeline),Moderate,10,2024,forecasting,29,149,6153,AGU Fall Meeting 2019; Zenodo (CERN European Organization for Nuclear Research); Frontiers in Ecology and the Environment; Nature Climate Change,Assessing opportunities and inequities in undergraduate ecological forecasting education,The<scp>NEON</scp>Ecological Forecasting Challenge,Near-term ecological forecasting for climate change action,Recurring publication signal (10 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-6771-0304,https://openalex.org/A5051640520,2026-04-10
36,A - strongest fit,Mary E. Lofton,Likely faculty/senior PI,Institute for Forecasting of the Slovak Academy of Sciences,SK,Non-US,no,Lower (not a typical PhD advisor home),Moderate,15,2025,forecasting,17,103,967,Zenodo (CERN European Organization for Nuclear Research); Ecological Applications; Ecosphere; Inland Waters,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting",Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Data assimilation experiments inform monitoring needs for near‐term ecological forecasts in a eutrophic reservoir,Recurring publication signal (15 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3270-1330,https://openalex.org/A5007200683,2026-04-10
